ID,var_rpta_alt
180038#259912#823069,1
396044#217129#865640,1
481918#268829#814184,1
418234#807545#272797,1
51629#1030560#49782,1
115401#238550#844446,0
358294#727484#352858,1
269166#1049501#30841,1
276159#401729#678188,1
542980#42169#1062934,1
53515#158028#930076,1
634586#678806#401536,1
347481#54414#1050534,1
618710#492844#587498,1
260902#604797#475545,0
510838#587867#492475,1
252859#518215#562127,0
116667#482395#597947,1
294765#434843#645349,1
573222#889070#191272,1
623826#267578#815436,0
424866#1053820#26522,1
113541#1062455#17887,0
330612#645508#434834,1
362351#182018#906117,1
269078#472727#607615,0
599381#222941#859858,1
383380#274255#808766,0
199792#860442#219900,1
60233#498443#581899,1
503202#545720#534622,1
259074#475302#605040,0
110295#855296#225046,1
343769#490816#589526,1
510332#890560#189782,1
233229#1029133#51209,1
78469#177776#910341,1
551307#324329#758798,1
533098#885970#194372,1
162118#289400#793661,0
90635#995250#85092,1
31455#821056#259286,1
467139#853719#226623,1
468489#419665#660329,1
518189#224035#858766,1
476798#108883#978914,1
414310#157149#930950,0
576331#929288#151054,1
458443#1016996#63346,0
619095#1077145#3197,1
272432#40961#1064143,0
401867#328010#755135,1
10371#440168#640141,1
352879#735661#344681,1
79008#104895#982878,1
331087#673928#406414,0
617462#1022999#57343,1
592396#760130#320212,1
57691#193328#894919,1
342128#354729#725138,1
485812#117985#969843,1
575711#659934#420408,1
361640#833271#247071,1
217584#1063352#16990,1
157612#559657#520685,0
546857#51575#1053366,1
437030#817729#262613,1
19089#243672#839328,0
422817#686399#393943,1
300399#1054833#25509,1
550002#775737#304605,1
165004#210666#872079,1
439822#437975#642319,1
204815#1072676#7666,1
91526#790821#289521,1
605171#676220#404122,0
15285#738742#341600,1
261592#619954#460388,1
544288#492171#588171,0
195315#583124#497218,1
295412#455572#624763,1
242515#247508#835497,1
88064#303718#779388,1
457599#494453#585889,0
474841#374275#705577,1
415146#757010#323332,1
517564#340980#739663,0
123367#833822#246520,0
408622#163871#924246,0
48177#1022559#57783,1
81489#529174#551168,1
13766#359999#719864,0
157803#1037640#42702,1
151037#799684#280658,1
374016#1061112#19230,1
511098#991561#88781,1
253953#609916#470426,1
452953#799178#281164,0
550809#888225#192117,1
242351#439259#641046,1
211024#302712#780400,1
269037#512897#567445,1
147616#142951#945146,1
105881#691848#388494,1
245732#980784#99558,1
6478#138844#949254,1
514200#494744#585598,0
351734#611298#469044,1
13113#37600#1067462,0
414596#113441#974372,0
94849#213819#868941,1
189418#707207#373135,1
286192#236248#846674,1
96619#143338#944767,1
118617#640670#439672,0
252941#114200#973619,1
205597#433580#646554,1
50564#1021139#59203,1
312853#983741#96601,1
7184#1025055#55287,1
407241#274576#808445,1
384094#97559#990206,1
104081#237972#845007,0
556423#316927#766217,0
310089#608190#472152,1
395948#742019#338323,1
160863#244165#838835,1
180981#706887#373455,1
309117#1006704#73638,1
406558#808358#271984,1
185339#319342#763804,1
161406#294510#788582,1
330782#572165#508177,0
408085#403259#676660,1
216761#795836#284506,1
684#196279#891979,1
375985#349801#730957,1
43653#794575#285767,1
342144#294072#789014,1
297018#689626#390716,1
474968#182922#905212,1
73731#564805#515537,1
320620#869495#210847,0
179417#524487#555855,1
331130#231433#851404,1
392610#807409#272933,1
173756#1080273#69,0
486214#290766#792289,1
413628#253191#829811,0
260639#101179#986596,1
86226#538123#542219,0
414271#380952#698906,0
109705#1023069#57273,0
558167#665747#414595,1
22965#995001#85341,1
326466#313738#769400,1
255679#619494#460848,1
317953#363751#716099,0
588997#736661#343681,1
494018#634046#446296,1
283935#841846#238496,1
299809#348685#732062,0
166379#754925#325417,1
107137#834646#245696,1
480348#326137#756999,1
528424#657123#423219,0
278006#276715#806313,1
147142#206072#879204,1
62176#667514#412828,1
158414#843646#236696,0
631123#661653#418689,1
319482#187286#900868,1
615346#392209#687692,1
421579#198183#890080,1
55361#815452#264890,1
561630#383562#696291,0
410424#982671#97671,1
422759#459066#621275,1
376724#960205#120137,1
443739#447749#632602,1
623274#451313#629047,1
235534#766242#314100,1
582662#159261#928847,1
422027#58614#1046368,1
330358#751392#328950,1
277187#977764#102578,0
329317#684952#395390,1
22158#838763#241579,1
467714#373328#706525,1
376375#533174#547168,0
227024#848188#232154,0
93370#941779#138563,1
7363#675879#404463,1
609581#441353#638962,1
267846#141852#946250,0
585118#89080#1016225,0
564292#227700#855130,1
371376#1038285#42057,1
533838#1027894#52448,1
257264#628776#451566,1
582850#426428#653551,0
21270#545924#534418,0
415378#189984#898251,0
228750#416585#663409,0
35737#1026553#53789,1
407900#373435#706417,1
570061#824361#255981,1
384772#619835#460507,1
587320#401804#678110,1
297871#152622#935476,1
226417#944009#136333,1
259859#482034#598308,0
424583#750022#330320,1
291129#868048#212294,1
26394#928261#152081,1
529847#1015314#65028,1
26589#743853#336489,1
427801#827156#253186,1
324481#1051035#29307,0
26875#406006#673918,0
360425#254596#828395,1
361487#552930#527412,0
416891#286078#796988,1
239357#383195#696656,1
66558#651989#428353,1
570481#879621#200721,0
518245#638127#442215,1
220198#711531#368811,1
415992#137860#950245,1
123458#188898#899295,1
188117#176240#911859,1
374885#731119#349223,1
585901#1012915#67427,1
97734#615021#465321,1
215554#371400#708449,1
204446#872456#207886,1
538596#295404#787691,1
581047#571401#508941,1
471392#188260#899907,0
31136#508275#572067,1
442733#994954#85388,1
400640#424156#655828,1
13946#35059#1069994,1
332489#644848#435494,1
468489#274365#808658,1
265200#599737#480605,1
442252#1056967#23375,1
359358#39304#1065792,1
275715#86519#1018746,0
547986#54786#1050162,1
613537#658628#421714,1
410846#438101#642199,1
601682#165729#922390,1
56595#995686#84656,1
441644#513463#566879,1
266267#997300#83042,1
312121#691737#388605,1
282578#657322#423020,0
549130#754749#325593,1
23044#595773#484569,1
8904#876197#204145,0
608055#858464#221878,0
30736#710154#370188,1
343763#57279#1047678,1
341810#372751#707102,1
306867#832727#247615,0
627219#333805#746776,1
209171#464607#615735,1
532133#487488#592854,1
461440#636422#443920,0
421280#144480#943618,1
412885#1048245#32097,1
273624#612662#467680,0
21823#508250#572092,1
88673#120964#966860,1
575098#819118#261224,1
325916#983991#96351,1
114067#229388#853449,1
547378#837724#242618,1
136729#529893#550449,1
341518#918377#161965,0
300634#527961#552381,0
393586#1006371#73971,1
232918#1077320#3022,1
493783#343750#736927,1
226275#87646#1017633,1
390458#383792#696064,1
330293#60687#1044290,1
2413#134449#953602,1
497811#816589#263753,0
8084#948207#132135,0
416403#127167#960674,0
413305#556072#524270,1
382092#1053576#26766,1
30772#868835#211507,0
327648#214397#868362,0
137403#160582#927524,0
483682#871050#209292,0
364761#194174#894079,0
153584#403685#676236,1
350798#967040#113302,0
362468#1007180#73162,0
614966#772832#307510,1
307174#945696#134646,1
193245#606903#473439,1
274768#1065429#14913,0
190134#727871#352471,1
439167#657956#422386,1
54694#387709#692145,1
445121#362031#717826,1
524860#654963#425379,1
394347#620268#460074,1
395162#792176#288166,1
521559#647558#432784,1
208505#753148#327194,1
631828#168657#919475,1
258901#270643#812362,1
510626#127530#960320,1
263255#668938#411404,0
262250#1049778#30564,1
135687#657693#422649,1
284363#1007088#73254,1
492903#114644#973178,1
257585#284368#798691,1
32996#459718#620625,0
112446#845359#234983,0
437387#177405#910709,1
291173#1020710#59632,1
26138#954250#126092,1
232047#953461#126881,1
444014#731577#348765,1
307444#555614#524728,0
332619#168068#920065,1
561066#483305#597037,1
388013#1071447#8895,1
556861#155325#932780,0
178632#144452#943646,1
140071#233543#849289,1
279619#895321#185021,1
395897#403620#677432,1
409709#890088#190254,0
411738#1004988#75354,1
517900#1024751#55591,1
379248#239289#843725,1
145253#522594#557748,1
319930#447011#633338,1
295574#1033665#46677,1
50042#844831#235511,1
465238#242347#840668,0
612509#63398#1041598,0
127489#137111#950993,1
391435#609419#470923,1
619993#1063457#16885,1
139046#461482#618859,1
75499#187193#900958,1
19987#643075#437267,1
254617#615597#464745,0
578387#1038307#42035,1
132839#689199#391143,1
549150#776797#303545,1
120657#372148#707706,1
214453#490947#589395,1
168827#137766#950339,1
363484#1001241#79101,1
152927#322858#760278,1
302769#507421#572921,0
429633#1055170#25172,1
110391#150584#937512,1
83653#446983#633366,1
479496#860739#219603,1
107282#686597#393745,0
533606#502359#577983,0
163867#176022#912076,1
548786#262922#820066,1
515199#944883#135459,1
494442#725631#354711,1
320212#310166#772974,1
504849#49103#1055724,1
496107#739796#340546,1
304596#567434#512908,0
130346#977557#102785,1
11958#332108#748458,1
71819#168107#920026,1
271934#597704#482638,1
477200#637125#443217,1
577822#356780#723082,1
277712#1009691#70651,0
558356#346884#733827,1
334004#413417#666498,1
229256#1068868#11474,1
12007#517397#562945,1
498592#801128#279214,1
548647#1018504#61838,0
625471#304360#778746,1
370681#61477#1043507,1
521149#335634#744951,1
411229#749020#331322,1
264672#604137#476205,1
562622#379133#700723,0
222668#732087#348255,1
536485#385664#694188,1
74860#785059#295283,1
573419#261084#821898,1
556800#250239#832758,1
528402#118549#969284,1
2319#101519#986252,1
85634#395896#684011,1
78228#725516#354826,1
284500#117619#970205,0
55919#961289#119053,1
300504#313325#769810,0
617549#450832#629534,0
342901#407289#672627,1
188579#447618#632729,1
464639#824010#256332,1
260171#198339#889924,1
227552#720742#359600,1
520024#295694#787404,1
89495#1026037#54305,1
195977#249584#833417,1
507825#160612#927495,1
439737#361239#718623,1
47355#285913#797152,1
386315#336134#744453,1
612460#223365#859434,1
187834#1004142#76200,1
597213#378962#700895,1
598095#644292#436050,1
363114#267818#815192,0
255383#604662#475680,0
228864#845241#235101,0
594029#211623#871132,1
508010#97774#989992,1
366749#713173#367169,1
64662#866942#213400,0
382184#1041061#39281,1
81372#952154#128188,1
4595#560746#519596,0
72986#233283#849545,1
365425#469829#610513,0
199859#237956#845022,0
265204#274615#808405,1
274786#1042079#38263,0
84838#198252#890011,1
35229#629206#451136,1
206416#443479#636833,1
217867#325097#758035,1
184309#227798#855031,1
124057#570555#509787,0
615675#395913#683994,0
460938#542490#537852,0
546329#664805#415537,1
363700#1040123#40219,1
240582#203650#881592,1
287949#438119#642182,1
29470#33571#1071457,0
64310#649524#430818,0
202917#414775#665161,0
275057#433683#646456,0
58948#644709#435633,0
156589#949714#130628,0
263571#278133#804905,1
350162#69767#1035285,1
8168#842453#237889,1
525929#1014484#65858,1
47098#664065#416277,1
243923#286508#796554,1
16528#426103#653872,0
510475#334003#746574,1
589866#435599#644627,1
509147#762823#317519,1
104069#216274#866496,0
540159#1044117#36225,1
287463#618811#461531,1
323218#573369#506973,1
257991#212872#869886,1
123997#750407#329935,1
327835#313702#769437,1
498919#901427#178915,1
527380#183332#904805,0
173908#805105#275237,1
213922#739312#341030,0
214438#739007#341335,0
277764#726186#354156,1
439920#861477#218865,0
371066#401919#677998,1
192753#607083#473259,1
171731#710817#369525,1
529769#445952#634380,0
131475#700120#380222,0
581893#444137#636187,1
524187#231477#851360,1
33836#205065#880188,1
93622#227406#855421,1
170509#951417#128925,1
151592#959843#120499,1
255395#1029802#50540,1
6174#226825#855990,1
17104#508980#571362,1
557587#1030456#49886,1
411912#271710#811303,1
192684#435809#644422,1
193125#515543#564799,0
255303#748961#331381,1
594430#177451#910664,1
494990#378808#701046,1
442754#952648#127694,1
12113#882066#198276,0
425062#189946#898289,1
620159#199930#888339,0
189964#986215#94127,0
273363#97828#989937,1
340965#295438#787656,1
194619#895286#185056,1
468076#321402#761749,1
545907#831469#248873,0
439893#897183#183159,1
424051#806426#273916,1
589900#759137#321205,1
128639#656975#423367,1
124394#650291#430051,0
542464#491920#588422,0
451232#881362#198980,0
20733#793826#286516,0
254690#159919#928182,1
371359#970135#110207,1
375870#172736#915388,1
7411#775255#305087,1
446799#785731#294611,1
468870#1026584#53758,1
353261#866931#213411,0
457282#508220#572122,1
181861#599569#480773,1
159402#313032#770105,1
602764#107504#980291,1
314851#808029#272313,0
549919#593000#487342,0
317460#968438#111904,0
598232#532707#547635,1
155875#919188#161154,0
441418#380934#698924,1
554983#945842#134500,0
618713#808918#271424,0
434120#286775#796284,1
15308#271368#811645,1
261562#999881#80461,1
425675#1067216#13126,1
302278#882783#197559,0
315482#812425#267917,1
84934#448852#631505,1
593970#71661#1033398,0
325808#402754#677167,1
32776#599530#480812,1
113232#980155#100187,0
426393#304445#778661,1
561370#945846#134496,1
304878#111081#976727,1
596059#522344#557998,1
557876#364747#715106,1
609248#317322#765820,1
552652#946519#133823,0
345115#54606#1050343,0
527442#778741#301601,0
479246#353592#726275,1
544279#974944#105398,1
170325#265093#817896,1
69048#946978#133364,1
425678#730562#349780,1
263842#987524#92818,1
385527#466312#614030,0
526195#405493#674428,1
583676#197933#890330,1
174359#360700#719162,1
601228#704959#375383,1
213493#137455#950655,0
68526#262468#820516,1
207113#624314#456028,1
126711#113832#973982,0
328105#412622#667293,1
300645#221682#861108,1
540797#332472#748107,1
45729#108221#979574,1
229457#728575#351767,0
91518#866807#213535,1
304113#576803#503539,0
21552#35795#1069258,1
629320#830217#250125,1
233396#631264#449078,1
156016#531970#548372,1
119422#355691#724172,1
431662#815610#264732,1
421935#179502#908620,1
554366#175169#912936,1
479478#1003195#77147,1
237627#155793#932306,1
312564#477206#603136,1
153771#213554#869209,1
200621#1024615#55727,1
510095#793832#286510,0
46577#637253#443089,1
342159#862865#217477,1
372716#417750#662247,0
241622#81620#1023626,0
94963#161765#926340,0
255304#645656#434686,1
187771#218686#864092,1
322648#287417#795655,1
42691#545956#534386,1
354158#951259#129083,1
32589#649510#430832,1
113086#317613#765530,0
469651#555385#524957,1
531127#539225#541117,1
418521#94729#993044,1
133301#157551#930549,1
199271#963383#116959,0
317049#170758#917380,1
388048#952634#127708,1
60375#503574#576768,1
78081#226358#856456,1
545838#217903#864868,1
424201#135763#952327,1
291590#797597#282745,0
507305#401738#678179,1
584468#418445#661550,1
584334#323344#759788,1
116797#457017#623305,1
212682#236796#846142,1
538297#505858#574484,1
103582#1037122#43220,0
406731#904051#176291,0
391435#609605#470737,1
4001#813298#267044,1
30038#1054729#25613,1
21163#851765#228577,1
371476#112361#975452,0
462807#625359#454983,1
574496#368688#711171,0
44938#536565#543777,0
227900#955252#125090,1
464259#675022#405320,1
581632#1010363#69979,1
180611#650307#430035,1
343650#918684#161658,0
39899#173325#914797,0
304290#728153#352189,1
127601#213510#869251,1
490910#835975#244367,0
259667#290106#792951,1
117128#540924#539418,0
192375#232586#850247,1
215403#587920#492422,0
197001#238316#844670,1
541190#868376#211966,0
415755#668995#411347,1
25396#830524#249818,1
314562#780110#300232,1
497159#832224#248118,0
539844#1044037#36305,0
269622#974660#105682,1
622805#1066604#13738,0
408546#746965#333377,1
274098#851115#229227,0
173364#675352#404990,1
266863#599189#481153,1
227144#857282#223060,1
270609#758119#322223,1
452725#119390#968437,1
621091#159591#928510,1
426128#55103#1049848,1
307664#1037345#42997,0
291825#1021389#58953,1
117097#184439#903698,1
34108#338898#741747,1
458068#1016664#63678,1
453260#35110#1069944,1
423041#814695#265647,1
356447#358003#721859,1
472445#346945#733765,1
504417#95636#992140,0
492826#833597#246745,0
439789#736552#343790,0
13153#806940#273402,1
14229#344891#735788,0
571824#249999#833001,1
317143#1014545#65797,0
544378#1022436#57906,1
281403#643024#437318,1
417135#575510#504832,1
260473#975126#105216,1
172212#99449#988333,1
270848#546717#533625,1
589958#230040#852792,1
425552#387890#691962,1
193125#515535#564807,0
541556#353452#726417,1
443893#442199#638109,1
131815#875662#204680,1
560274#652767#427575,1
592230#1069577#10765,1
524341#470658#609684,0
448834#869060#211282,0
357561#475334#605008,1
226191#1063514#16828,1
595273#540328#540014,1
168104#528418#551924,0
179761#164154#923961,1
629375#1054154#26188,1
531968#663339#417003,1
237732#362029#717828,1
279207#770927#309415,1
594421#685247#395095,0
218440#189158#899051,1
601381#542992#537350,1
80079#1063473#16869,1
595671#221308#861484,0
256665#91562#996201,1
188079#494982#585360,1
606014#823530#256812,1
14967#642952#437390,1
67409#789660#290682,1
334612#912325#168017,0
311073#1041072#39270,0
347574#147779#940315,1
164357#760789#319553,1
507368#763347#316995,0
530101#1039968#40374,1
334498#768103#312239,0
220347#102198#985573,1
223635#848403#231939,1
453623#984851#95491,1
243100#874885#205457,1
209354#148530#939565,1
162451#547881#532461,1
321904#158729#929383,1
147575#199232#889034,1
560013#130024#957818,1
35692#328943#751748,0
71427#967994#112348,1
396111#369241#710618,1
411914#906400#173942,0
67222#565614#514728,0
316829#252019#830989,1
433643#942738#137604,1
192095#959460#120882,0
218867#964644#115698,1
17058#748047#332295,0
115015#705079#375263,1
508040#691669#388673,0
53111#215984#866784,1
288918#193237#895010,1
375817#986078#94264,1
566730#358560#721301,0
327739#1063585#16757,1
169462#846042#234300,1
104277#1010866#69476,1
227980#734143#346199,0
6123#826513#253829,1
621358#105113#982662,1
402296#367297#712562,1
168259#964135#116207,1
308501#605391#474951,0
557944#379484#700370,1
412729#34489#1070550,1
251315#339571#741074,0
407125#755905#324437,1
59553#389569#690279,1
459214#934846#145496,1
545423#867868#212474,0
355568#1024080#56262,0
400508#69504#1035548,0
41216#830684#249658,0
488998#201278#886992,1
142907#507559#572783,1
130874#839135#241207,0
500691#1011366#68976,0
510023#870762#209580,0
281234#350221#730539,1
269468#135344#952749,1
287645#177813#910303,1
378169#460521#619815,1
186747#789916#290426,1
232258#1041833#38509,0
3440#626328#454014,0
184346#505193#575149,0
575638#659896#420446,1
463201#883347#196995,1
633104#666511#413831,1
222536#1013389#66953,1
317690#1000256#80086,0
230435#33338#1071687,0
272083#649151#431191,1
517421#935775#144567,0
14355#142047#946052,1
576904#747203#333139,1
304715#559919#520423,0
30675#1003592#76750,0
174475#619315#461027,0
229519#844092#236250,1
517989#245085#837911,0
306291#30120#1014194,0
417834#724285#356057,0
372484#53586#1051366,1
375764#957601#122741,1
296680#1471#1076815,1
626048#11278#1013109,0
152112#31393#752607,1
68548#15392#1077061,0
200844#592#1072684,1
310808#22450#1011203,0
541947#157634#928031,0
326218#60631#1044347,0
310144#32216#886351,0
633888#20263#1010787,0
333068#280410#814417,0
626336#15790#1073187,1
337871#6432#1008575,1
273654#429090#650630,0
516601#583#877306,0
314362#19938#886174,0
20985#2233#1078050,0
20985#2233#1073686,0
306725#30084#1004831,0
45200#96270#974963,1
120468#25500#1000844,1
24258#10696#1003722,0
50182#2151#1072008,1
315517#18221#1079618,0
315946#4298#884189,0
9706#1091#997270,1
46162#29092#727980,0
544211#6800#1008645,1
127499#449218#636886,1
232689#31940#753969,1
311366#27006#877655,0
309024#23715#1004905,0
310142#30502#1014059,0
267617#12106#1009421,1
308123#14067#1076964,0
158174#8236#1002391,1
309662#26732#754387,0
313695#22851#1005575,0
312757#23401#883523,0
518575#28362#752360,1
516605#3688#1080051,0
314000#12404#997636,0
512959#16786#1009305,1
314592#5092#1077053,0
310843#31334#877310,0
344055#10193#1011824,0
237462#12100#1012312,1
307855#26459#884235,0
365574#336528#744615,1
306281#25564#1006945,0
76524#31233#754410,0
519887#639293#441049,0
222006#346478#734228,1
516943#874528#205814,0
359944#506605#573737,1
573323#343540#737132,1
568221#235119#847758,0
294909#520417#559925,1
534276#1028505#51837,1
37145#643852#436490,0
300270#741045#339297,0
580071#93132#994636,1
433473#519454#560888,1
621222#1069049#11293,1
280799#421287#658703,1
390942#899413#180929,1
444843#752837#327505,1
49560#850719#229623,1
336463#243224#839781,1
359905#739765#340577,1
564010#609084#471258,0
216140#1032737#47605,1
612454#666465#413877,0
44398#390406#689482,0
363211#38515#1066572,1
18561#311467#771676,1
432969#911476#168866,1
60768#1033280#47062,1
362994#556311#524031,1
36091#640829#439513,1
465246#947832#132510,1
522096#414598#665334,0
53273#649467#430875,1
236357#325747#757388,1
612389#740907#339435,0
399644#865584#214758,0
502465#685541#394801,1
489522#922430#157912,1
226446#333299#747281,1
162614#550386#529956,1
172177#205916#879353,1
443327#657799#422543,1
130450#1048306#32036,1
136252#731550#348792,1
360203#219699#863092,1
70916#621386#458956,0
209171#464453#615889,1
509788#35012#1070039,1
568997#513742#566600,0
318658#248432#834567,1
432396#745616#334726,1
544288#492169#588173,1
436314#100570#987207,1
240440#707775#372567,1
412111#370799#709048,1
334473#94589#993186,1
153564#409355#670568,1
459549#380904#698953,1
585729#158089#930015,1
549915#1018847#61495,1
350893#720353#359989,1
36010#429437#650560,1
401272#608024#472318,0
435458#106939#980848,1
2666#767520#312822,1
68534#638510#441832,0
410916#125328#962506,1
38175#993110#87232,1
80258#736665#343677,1
152105#854765#225577,1
427432#1063526#16816,1
7399#645496#434846,1
292775#553144#527198,0
495523#955022#125320,1
179684#1056576#23766,1
126779#790722#289620,1
25029#756211#324131,1
253865#659319#421023,0
378212#559903#520439,0
299018#1073257#7085,1
161136#860728#219614,1
577735#809743#270599,1
172345#434261#645901,0
82453#781307#299035,0
212996#652672#427670,1
259535#1043896#36446,1
71872#159131#928977,1
515473#678508#401834,1
80984#102225#985546,1
176383#767996#312346,1
95089#144921#943178,0
115130#292679#790391,0
468536#374874#704975,1
169280#1059902#20440,1
384133#988087#92255,1
207574#857980#222362,1
152511#519623#560719,1
173742#640668#439674,0
14446#375912#703939,1
445302#313357#769778,1
323878#809033#271309,0
617028#47963#1056863,1
198349#871656#208686,0
207170#845093#235249,0
255314#1039370#40972,1
316709#999319#81023,1
564916#1030808#49534,1
540750#388030#691821,1
33110#774998#305344,0
385032#713216#367126,0
53856#1012529#67813,1
47749#635085#445257,0
492646#946947#133395,1
429593#1063921#16421,1
232973#1071198#9144,1
191538#250926#832074,0
265286#956293#124049,1
569451#870461#209881,1
446883#778111#302231,1
223047#613821#466521,0
631253#212924#869833,1
562707#62769#1042217,1
370255#991403#88939,0
601702#58768#1046212,1
96554#375521#704334,0
478114#78425#1026700,1
495119#989870#90472,1
512768#631099#449243,1
272962#553772#526570,1
431808#102076#985695,1
355350#56412#1048536,1
50956#998205#82137,1
336753#323391#759740,1
502975#763871#316471,1
575390#332304#748272,1
3551#643090#437252,1
